"filename", "language", "CSS", "JavaScript", "JSON", "XML", "comment", "blank", "total"
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\App.css", "CSS", 21, 0, 0, 0, 0, 6, 27
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\App.js", "JavaScript", 0, 59, 0, 0, 1, 13, 73
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\AllUsers.css", "CSS", 6, 0, 0, 0, 0, 1, 7
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\AllUsers.js", "JavaScript", 0, 4, 0, 0, 30, 2, 36
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\AvailablePlace.css", "CSS", 32, 0, 0, 0, 0, 13, 45
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\AvailablePlace.js", "JavaScript", 0, 23, 0, 0, 0, 6, 29
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\FilterByAddress.css", "CSS", 3, 0, 0, 0, 0, 0, 3
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\FilterByAddress.js", "JavaScript", 0, 9, 0, 0, 0, 3, 12
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\FilterByPrice.css", "CSS", 3, 0, 0, 0, 0, 1, 4
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\FilterByPrice.js", "JavaScript", 0, 16, 0, 0, 0, 3, 19
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\Footer.css", "CSS", 10, 0, 0, 0, 0, 2, 12
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\Footer.js", "JavaScript", 0, 11, 0, 0, 0, 4, 15
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\ModalUpdateAccInfo.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\ModalUpdateAccInfo.js", "JavaScript", 0, 8, 0, 0, 0, 4, 12
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\Navbar.css", "CSS", 116, 0, 0, 0, 0, 12, 128
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\Navbar.js", "JavaScript", 0, 116, 0, 0, 0, 5, 121
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\Reservations.css", "CSS", 52, 0, 0, 0, 0, 11, 63
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\Reservations.js", "JavaScript", 0, 53, 0, 0, 0, 11, 64
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\UserById.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Components\UserById.js", "JavaScript", 0, 0, 0, 0, 0, 1, 1
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\FakeData\FakeHouses.js", "JavaScript", 0, 87, 0, 0, 0, 3, 90
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Pages\APNotLoggedIn.css", "CSS", 12, 0, 0, 0, 0, 3, 15
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Pages\APNotLoggedIn.js", "JavaScript", 0, 18, 0, 0, 0, 6, 24
"d:\individual-track-repo\individual-track\Frontend\individual_track_react\src\Pages\AboutUs.css", "CSS", 98, 0, 0, 0, 0, 18, 116
